ID,MARCA,MODELO,VERSION,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Comb.,Segmento,Puertas,Traccion
,ALFA ROMEO,GTV,3.0 V6 24V,,,,,,,,,," $ 163,000 "," $ 159,000 "," $ 155,000 "," $ 151,000 "," $ 148,000 "," $ 145,000 "," $ 143,000 ",,,,
,ALFA ROMEO,MITO,1.4 DDCT DISTINCTIVE TC," $ 250,000 "," $ 230,000 "," $ 180,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 DDCT SPORT AUT,," $ 220,000 "," $ 205,000 "," $ 195,000 ",,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 DDCT SPORT AUT TC," $ 245,000 "," $ 225,000 "," $ 210,000 "," $ 200,000 ",,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 JUNIOR," $ 185,000 "," $ 170,000 ",,,,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 PLUS,," $ 195,000 ",,,,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 RAGAZZI,," $ 170,000 ",,,,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4T DSITINCTIVE," $ 240,000 ",," $ 210,000 "," $ 190,000 "," $ 180,000 ",,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4T MOVE,,,," $ 175,000 "," $ 165,000 ",,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4T PREOGRESSION," $ 225,000 "," $ 210,000 "," $ 195,000 "," $ 180,000 ",,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4T PREOGRESSION TCT," $ 245,000 "," $ 230,000 "," $ 215,000 ",,,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 TBI QUADRIFOGLIO VERDE," $ 265,000 "," $ 235,000 ",,,,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,2.4 TBI SPORT," $ 240,000 "," $ 220,000 "," $ 205,000 "," $ 190,000 ",,,,,,,,,,,,,,,,
,ALFA ROMEO,MITO,1.4 TBI SPORT TC," $ 245,000 "," $ 225,000 "," $ 210,000 "," $ 195,000 ",,,,,,,,,,,,,,,,
,ALFA ROMEO,SPIDER,2.2 JTS 189CV SLEESPEED,," $ 325,000 "," $ 305,000 "," $ 285,000 "," $ 265,000 ",,,,,,,,,,,,,,,
,ALFA ROMEO,SPIDER,2.2 JTS MEDIUM,,,,," $ 260,000 "," $ 250,000 "," $ 240,000 ",,,,,,,,,,,,,
,ALFA ROMEO,SPIDER,3.0 V6,,,,,,,,,," $ 237,000 "," $ 233,000 "," $ 229,000 "," $ 225,000 "," $ 221,000 "," $ 217,000 "," $ 212,000 ",,,,
,ALFA ROMEO,SPIDER,3.0 V6 TCE,,,,,,,,,," $ 242,000 "," $ 237,000 "," $ 233,000 "," $ 229,000 "," $ 225,000 "," $ 221,000 "," $ 216,000 ",,,,
